at,userName,score,content,cleaning,case_folding,normalisasi,tokenize,stopword_removal,steming_data,content_length,Sentiment
2025-10-26 12:24:24,Pengguna Google,5,lumayan sih tapi agak bingung aja aku udah 44 hari beruntun,lumayan sih tapi agak bingung aja aku udah  hari beruntun,lumayan sih tapi agak bingung aja aku udah  hari beruntun,lumayan sih tapi agak bingung saja aku sudah hari beruntun,"['lumayan', 'sih', 'tapi', 'agak', 'bingung', 'saja', 'aku', 'sudah', 'hari', 'beruntun']","['lumayan', 'sih', 'bingung', 'beruntun']",lumayan sih bingung untun,57,Netral
2025-10-26 12:19:00,Pengguna Google,3,"bahasa Inggrisnya tidak bisa ke semua bahasa, aku ingin belajar bahasa thailand dan India🥺",bahasa Inggrisnya tidak bisa ke semua bahasa aku ingin belajar bahasa thailand dan India,bahasa inggrisnya tidak bisa ke semua bahasa aku ingin belajar bahasa thailand dan india,bahasa inggrisnya tidak bisa ke semua bahasa aku ingin belajar bahasa thailand dan india,"['bahasa', 'inggrisnya', 'tidak', 'bisa', 'ke', 'semua', 'bahasa', 'aku', 'ingin', 'belajar', 'bahasa', 'thailand', 'dan', 'india']","['bahasa', 'inggrisnya', 'bahasa', 'belajar', 'bahasa', 'thailand', 'india']",bahasa inggris bahasa ajar bahasa thailand india,88,Positif
2025-10-26 12:17:06,Pengguna Google,1,"freaking hell, abis update jadi kapitalis bgt anjinggg, balikin fitur hati daripada energi. kalo mau kejar leaderboard rasanya kayak dipaksa pake premium astaga.",freaking hell abis update jadi kapitalis bgt anjinggg balikin fitur hati daripada energi kalo mau kejar leaderboard rasanya kayak dipaksa pake premium astaga,freaking hell abis update jadi kapitalis bgt anjinggg balikin fitur hati daripada energi kalo mau kejar leaderboard rasanya kayak dipaksa pake premium astaga,freaking hell habis update jadi kapitalis banget anjinggg balikin fitur hati daripada energi kalau mau kejar leaderboard rasanya kayak dipaksa pakai premium astaga,"['freaking', 'hell', 'habis', 'update', 'jadi', 'kapitalis', 'banget', 'anjinggg', 'balikin', 'fitur', 'hati', 'daripada', 'energi', 'kalau', 'mau', 'kejar', 'leaderboard', 'rasanya', 'kayak', 'dipaksa', 'pakai', 'premium', 'astaga']","['freaking', 'hell', 'habis', 'update', 'kapitalis', 'banget', 'anjinggg', 'balikin', 'fitur', 'hati', 'energi', 'kejar', 'leaderboard', 'kayak', 'dipaksa', 'pakai', 'premium', 'astaga']",freaking hell habis update kapitalis banget anjinggg balikin fitur hati energi kejar leaderboard kayak paksa pakai premium astaga,157,Negatif
2025-10-26 12:15:41,Pengguna Google,5,Duolingo itu applikasi yang bagus untuk belajar,Duolingo itu applikasi yang bagus untuk belajar,duolingo itu applikasi yang bagus untuk belajar,duolingo itu aplikasi yang bagus untuk belajar,"['duolingo', 'itu', 'aplikasi', 'yang', 'bagus', 'untuk', 'belajar']","['duolingo', 'aplikasi', 'bagus', 'belajar']",duolingo aplikasi bagus ajar,47,Positif
2025-10-26 12:14:09,Pengguna Google,5,sangat membantu,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],bantu,15,Positif
2025-10-26 12:07:29,Pengguna Google,5,sagat bagus,sagat bagus,sagat bagus,sagat bagus,"['sagat', 'bagus']","['sagat', 'bagus']",sagat bagus,11,Positif
2025-10-26 12:04:01,Pengguna Google,5,"thanks you duolingo karena duolingo aku gak perlu les bahasa inggris kemana mana , les sama duolingo aja",thanks you duolingo karena duolingo aku gak perlu les bahasa inggris kemana mana  les sama duolingo aja,thanks you duolingo karena duolingo aku gak perlu les bahasa inggris kemana mana  les sama duolingo aja,thanks you duolingo karena duolingo aku tidak perlu les bahasa inggris kemana mana les sama duolingo saja,"['thanks', 'you', 'duolingo', 'karena', 'duolingo', 'aku', 'tidak', 'perlu', 'les', 'bahasa', 'inggris', 'kemana', 'mana', 'les', 'sama', 'duolingo', 'saja']","['thanks', 'you', 'duolingo', 'duolingo', 'les', 'bahasa', 'inggris', 'kemana', 'les', 'duolingo']",thanks you duolingo duolingo les bahasa inggris mana les duolingo,103,Positif
2025-10-26 12:03:55,Pengguna Google,5,"tolong tambahkan fitur chat di aplikasi mobile, mengobrol dengan orang lain secara langsung akan sangat membantu pembelajaran",tolong tambahkan fitur chat di aplikasi mobile mengobrol dengan orang lain secara langsung akan sangat membantu pembelajaran,tolong tambahkan fitur chat di aplikasi mobile mengobrol dengan orang lain secara langsung akan sangat membantu pembelajaran,tolong tambahkan fitur chat di aplikasi mobile mengobrol dengan orang lain secara langsung akan sangat membantu pembelajaran,"['tolong', 'tambahkan', 'fitur', 'chat', 'di', 'aplikasi', 'mobile', 'mengobrol', 'dengan', 'orang', 'lain', 'secara', 'langsung', 'akan', 'sangat', 'membantu', 'pembelajaran']","['tolong', 'tambahkan', 'fitur', 'chat', 'aplikasi', 'mobile', 'mengobrol', 'orang', 'langsung', 'membantu', 'pembelajaran']",tolong tambah fitur chat aplikasi mobile obrol orang langsung bantu ajar,124,Positif
2025-10-26 11:59:54,Pengguna Google,4,bagus siehh,bagus siehh,bagus siehh,bagus siehh,"['bagus', 'siehh']","['bagus', 'siehh']",bagus siehh,11,Positif
2025-10-26 11:59:24,Pengguna Google,5,buat bljar,buat bljar,buat bljar,buat bljar,"['buat', 'bljar']",['bljar'],bljar,10,Negatif
2025-10-26 11:54:52,Pengguna Google,5,"semoga bermanfaat, dan dapat digunakan sebagai bahan untuk membuat suatu keputusan yang diambil",semoga bermanfaat dan dapat digunakan sebagai bahan untuk membuat suatu keputusan yang diambil,semoga bermanfaat dan dapat digunakan sebagai bahan untuk membuat suatu keputusan yang diambil,semoga bermanfaat dan dapat digunakan sebagai bahan untuk membuat suatu keputusan yang diambil,"['semoga', 'bermanfaat', 'dan', 'dapat', 'digunakan', 'sebagai', 'bahan', 'untuk', 'membuat', 'suatu', 'keputusan', 'yang', 'diambil']","['semoga', 'bermanfaat', 'bahan', 'keputusan', 'diambil']",moga manfaat bahan putus ambil,94,Netral
2025-10-26 11:53:18,Pengguna Google,1,"remove the energy feature as life, return the heart as life!!",remove the energy feature as life return the heart as life,remove the energy feature as life return the heart as life,remove the energy feature as life return the heart as life,"['remove', 'the', 'energy', 'feature', 'as', 'life', 'return', 'the', 'heart', 'as', 'life']","['remove', 'the', 'energy', 'feature', 'as', 'life', 'return', 'the', 'heart', 'as', 'life']",remove the energy feature as life return the heart as life,58,Negatif
2025-10-26 11:53:13,Pengguna Google,1,"fitur energi nya jelek banget, dulu bisa belajar lebih dari 10 tapi sekarang cuman 2",fitur energi nya jelek banget dulu bisa belajar lebih dari  tapi sekarang cuman ,fitur energi nya jelek banget dulu bisa belajar lebih dari  tapi sekarang cuman ,fitur energi ya jelek banget dulu bisa belajar lebih dari tapi sekarang cuman,"['fitur', 'energi', 'ya', 'jelek', 'banget', 'dulu', 'bisa', 'belajar', 'lebih', 'dari', 'tapi', 'sekarang', 'cuman']","['fitur', 'energi', 'ya', 'jelek', 'banget', 'belajar', 'cuman']",fitur energi ya jelek banget ajar cuman,80,Negatif
2025-10-26 11:50:46,Pengguna Google,5,Congratulation,Congratulation,congratulation,congratulation,['congratulation'],['congratulation'],congratulation,14,Netral
2025-10-26 11:45:01,Pengguna Google,5,TERBAIK,TERBAIK,terbaik,terbaik,['terbaik'],['terbaik'],baik,7,Netral
2025-10-26 11:44:41,Pengguna Google,5,bagus,bagus,bagus,bagus,['bagus'],['bagus'],bagus,5,Positif
2025-10-26 11:41:21,Pengguna Google,1,saya minta uang saya dikembalikan dikarenakan saya tidak pernah merasa berlangganan di duo linggo uang saya kesedot sebesar 532.800.00 pada 14 Oktober 2025,saya minta uang saya dikembalikan dikarenakan saya tidak pernah merasa berlangganan di duo linggo uang saya kesedot sebesar  pada  Oktober ,saya minta uang saya dikembalikan dikarenakan saya tidak pernah merasa berlangganan di duo linggo uang saya kesedot sebesar  pada  oktober ,saya meminta uang saya dikembalikan dikarenakan saya tidak pernah merasa berlangganan di duo linggo uang saya kesedot sebesar pada oktober,"['saya', 'meminta', 'uang', 'saya', 'dikembalikan', 'dikarenakan', 'saya', 'tidak', 'pernah', 'merasa', 'berlangganan', 'di', 'duo', 'linggo', 'uang', 'saya', 'kesedot', 'sebesar', 'pada', 'oktober']","['uang', 'dikembalikan', 'berlangganan', 'duo', 'linggo', 'uang', 'kesedot', 'oktober']",uang kembali langgan duo linggo uang sedot oktober,139,Negatif
2025-10-26 11:40:37,Pengguna Google,5,"Sangat bermanfaat sekali untuk belajar bahasa asing mengenal tulisan, arti dan pengucapannya.",Sangat bermanfaat sekali untuk belajar bahasa asing mengenal tulisan arti dan pengucapannya,sangat bermanfaat sekali untuk belajar bahasa asing mengenal tulisan arti dan pengucapannya,sangat bermanfaat sekali untuk belajar bahasa asing mengenal tulisan arti dan pengucapannya,"['sangat', 'bermanfaat', 'sekali', 'untuk', 'belajar', 'bahasa', 'asing', 'mengenal', 'tulisan', 'arti', 'dan', 'pengucapannya']","['bermanfaat', 'belajar', 'bahasa', 'asing', 'mengenal', 'tulisan', 'arti', 'pengucapannya']",manfaat ajar bahasa asing kenal tulis arti ucap,91,Positif
2025-10-26 11:38:32,Pengguna Google,5,aplikasi nya bagus bgt karna saya sangat cepat bisa bahasa jepang,aplikasi nya bagus bgt karna saya sangat cepat bisa bahasa jepang,aplikasi nya bagus bgt karna saya sangat cepat bisa bahasa jepang,aplikasi ya bagus banget karena saya sangat cepat bisa bahasa jepang,"['aplikasi', 'ya', 'bagus', 'banget', 'karena', 'saya', 'sangat', 'cepat', 'bisa', 'bahasa', 'jepang']","['aplikasi', 'ya', 'bagus', 'banget', 'cepat', 'bahasa', 'jepang']",aplikasi ya bagus banget cepat bahasa jepang,65,Positif
2025-10-26 11:29:25,Pengguna Google,4,keren,keren,keren,keren,['keren'],['keren'],keren,5,Netral
2025-10-26 11:23:07,Pengguna Google,5,bagusss ss,bagusss ss,bagusss ss,bagus ss,"['bagus', 'ss']","['bagus', 'ss']",bagus ss,10,Positif
2025-10-26 11:19:58,Pengguna Google,5,good app for studying new language :D,good app for studying new language D,good app for studying new language d,good app for studying new language di,"['good', 'app', 'for', 'studying', 'new', 'language', 'di']","['good', 'app', 'for', 'studying', 'new', 'language']",good app for studying new language,36,Negatif
2025-10-26 11:18:26,Pengguna Google,5,"karena aplikasi ini, saya menjadi lebih pandai bahasa Inggris dan mengetahui kata kata baru, bermanfaat bgt buat yg belum bisa atau agak bisa bahasa inggris",karena aplikasi ini saya menjadi lebih pandai bahasa Inggris dan mengetahui kata kata baru bermanfaat bgt buat yg belum bisa atau agak bisa bahasa inggris,karena aplikasi ini saya menjadi lebih pandai bahasa inggris dan mengetahui kata kata baru bermanfaat bgt buat yg belum bisa atau agak bisa bahasa inggris,karena aplikasi ini saya menjadi lebih pandai bahasa inggris dan mengetahui kata kata baru bermanfaat banget buat yang belum bisa atau agak bisa bahasa inggris,"['karena', 'aplikasi', 'ini', 'saya', 'menjadi', 'lebih', 'pandai', 'bahasa', 'inggris', 'dan', 'mengetahui', 'kata', 'kata', 'baru', 'bermanfaat', 'banget', 'buat', 'yang', 'belum', 'bisa', 'atau', 'agak', 'bisa', 'bahasa', 'inggris']","['aplikasi', 'pandai', 'bahasa', 'inggris', 'bermanfaat', 'banget', 'bahasa', 'inggris']",aplikasi pandai bahasa inggris manfaat banget bahasa inggris,154,Positif
2025-10-26 11:03:59,Pengguna Google,5,sangat bagus,sangat bagus,sangat bagus,sangat bagus,"['sangat', 'bagus']",['bagus'],bagus,12,Positif
2025-10-26 10:59:49,Pengguna Google,5,sangat seru,sangat seru,sangat seru,sangat seru,"['sangat', 'seru']",['seru'],seru,11,Positif
2025-10-26 10:58:26,Pengguna Google,5,good,good,good,good,['good'],['good'],good,4,Negatif
2025-10-26 10:49:24,Pengguna Google,1,lebih suka fitur hati dari pada yang sekarang (batre) dan juga terdapat lgbt,lebih suka fitur hati dari pada yang sekarang batre dan juga terdapat lgbt,lebih suka fitur hati dari pada yang sekarang batre dan juga terdapat lgbt,lebih suka fitur hati dari pada yang sekarang batre dan juga terdapat lgbt,"['lebih', 'suka', 'fitur', 'hati', 'dari', 'pada', 'yang', 'sekarang', 'batre', 'dan', 'juga', 'terdapat', 'lgbt']","['suka', 'fitur', 'hati', 'batre', 'lgbt']",suka fitur hati batre lgbt,74,Negatif
2025-10-26 10:47:03,Pengguna Google,5,aplikasi nya bagus sangat berguna untuk belajar bahasa Inggris dan lain-lain,aplikasi nya bagus sangat berguna untuk belajar bahasa Inggris dan lainlain,aplikasi nya bagus sangat berguna untuk belajar bahasa inggris dan lainlain,aplikasi ya bagus sangat berguna untuk belajar bahasa inggris dan lainlain,"['aplikasi', 'ya', 'bagus', 'sangat', 'berguna', 'untuk', 'belajar', 'bahasa', 'inggris', 'dan', 'lainlain']","['aplikasi', 'ya', 'bagus', 'berguna', 'belajar', 'bahasa', 'inggris', 'lainlain']",aplikasi ya bagus guna ajar bahasa inggris lainlain,75,Positif
2025-10-26 10:46:47,Pengguna Google,5,membantu memahami bahasa asing,membantu memahami bahasa asing,membantu memahami bahasa asing,membantu memahami bahasa asing,"['membantu', 'memahami', 'bahasa', 'asing']","['membantu', 'memahami', 'bahasa', 'asing']",bantu paham bahasa asing,30,Positif
2025-10-26 10:44:51,Pengguna Google,5,aplikasi ini sangat membantu untuk peroses belajar berbagai bahasa,aplikasi ini sangat membantu untuk peroses belajar berbagai bahasa,aplikasi ini sangat membantu untuk peroses belajar berbagai bahasa,aplikasi ini sangat membantu untuk peroses belajar berbagai bahasa,"['aplikasi', 'ini', 'sangat', 'membantu', 'untuk', 'peroses', 'belajar', 'berbagai', 'bahasa']","['aplikasi', 'membantu', 'peroses', 'belajar', 'bahasa']",aplikasi bantu peroses ajar bahasa,66,Positif
2025-10-26 10:43:15,Pengguna Google,5,aku merasa senang 😊,aku merasa senang ,aku merasa senang ,aku merasa senang,"['aku', 'merasa', 'senang']",['senang'],senang,18,Positif
2025-10-26 10:40:48,Pengguna Google,5,bagus banget 😊,bagus banget ,bagus banget ,bagus banget,"['bagus', 'banget']","['bagus', 'banget']",bagus banget,13,Positif
2025-10-26 10:38:54,Pengguna Google,1,gak sengaja kepikiran liat asal usul duolingo di yt eh pas 2025 di gantiin pake ai,gak sengaja kepikiran liat asal usul duolingo di yt eh pas  di gantiin pake ai,gak sengaja kepikiran liat asal usul duolingo di yt eh pas  di gantiin pake ai,tidak sengaja kepikiran lihat asal usul duolingo di yt eh pas di menggantikan pakai ai,"['tidak', 'sengaja', 'kepikiran', 'lihat', 'asal', 'usul', 'duolingo', 'di', 'yt', 'eh', 'pas', 'di', 'menggantikan', 'pakai', 'ai']","['sengaja', 'kepikiran', 'lihat', 'usul', 'duolingo', 'yt', 'eh', 'pas', 'menggantikan', 'pakai', 'ai']",sengaja pikir lihat usul duolingo yt eh pas ganti pakai ai,78,Negatif
2025-10-26 10:28:06,Pengguna Google,5,sangat membantu untuk belajar kosakata sempurna di dalam aplikasi ini,sangat membantu untuk belajar kosakata sempurna di dalam aplikasi ini,sangat membantu untuk belajar kosakata sempurna di dalam aplikasi ini,sangat membantu untuk belajar kosakata sempurna di dalam aplikasi ini,"['sangat', 'membantu', 'untuk', 'belajar', 'kosakata', 'sempurna', 'di', 'dalam', 'aplikasi', 'ini']","['membantu', 'belajar', 'kosakata', 'sempurna', 'aplikasi']",bantu ajar kosakata sempurna aplikasi,69,Positif
2025-10-26 10:26:54,Pengguna Google,5,aplikasi ini membantu banget buat aku yg gak bisa bahasa luar negri dan gara2 aku belajar disini aku jadi jago bahasa inggris,aplikasi ini membantu banget buat aku yg gak bisa bahasa luar negri dan gara aku belajar disini aku jadi jago bahasa inggris,aplikasi ini membantu banget buat aku yg gak bisa bahasa luar negri dan gara aku belajar disini aku jadi jago bahasa inggris,aplikasi ini membantu banget buat aku yang tidak bisa bahasa luar negeri dan gara aku belajar disini aku jadi jago bahasa inggris,"['aplikasi', 'ini', 'membantu', 'banget', 'buat', 'aku', 'yang', 'tidak', 'bisa', 'bahasa', 'luar', 'negeri', 'dan', 'gara', 'aku', 'belajar', 'disini', 'aku', 'jadi', 'jago', 'bahasa', 'inggris']","['aplikasi', 'membantu', 'banget', 'bahasa', 'negeri', 'gara', 'belajar', 'jago', 'bahasa', 'inggris']",aplikasi bantu banget bahasa negeri gara ajar jago bahasa inggris,124,Positif
2025-10-26 10:22:30,Pengguna Google,1,Energy system is the worst,Energy system is the worst,energy system is the worst,energy system is the worst,"['energy', 'system', 'is', 'the', 'worst']","['energy', 'system', 'is', 'the', 'worst']",energy system is the worst,26,Negatif
2025-10-26 10:06:29,Pengguna Google,5,Doulingo bagus untuk anak yang sedang belajar bahasa yang mereka mau,Doulingo bagus untuk anak yang sedang belajar bahasa yang mereka mau,doulingo bagus untuk anak yang sedang belajar bahasa yang mereka mau,doulingo bagus untuk anak yang sedang belajar bahasa yang mereka mau,"['doulingo', 'bagus', 'untuk', 'anak', 'yang', 'sedang', 'belajar', 'bahasa', 'yang', 'mereka', 'mau']","['doulingo', 'bagus', 'anak', 'belajar', 'bahasa']",doulingo bagus anak ajar bahasa,68,Positif
2025-10-26 10:03:01,Pengguna Google,5,seru,seru,seru,seru,['seru'],['seru'],seru,4,Positif
2025-10-26 09:54:41,Pengguna Google,2,"yang sekarang konsp nya gak suka, ke super gak bisa di tambah masa nyawa nya abis sekali kursus😑🤦‍♂️",yang sekarang konsp nya gak suka ke super gak bisa di tambah masa nyawa nya abis sekali kursus,yang sekarang konsp nya gak suka ke super gak bisa di tambah masa nyawa nya abis sekali kursus,yang sekarang konsp ya tidak suka ke super tidak bisa di tambah masa nyawa ya habis sekali kursus,"['yang', 'sekarang', 'konsp', 'ya', 'tidak', 'suka', 'ke', 'super', 'tidak', 'bisa', 'di', 'tambah', 'masa', 'nyawa', 'ya', 'habis', 'sekali', 'kursus']","['konsp', 'ya', 'suka', 'super', 'nyawa', 'ya', 'habis', 'kursus']",konsp ya suka super nyawa ya habis kursus,94,Negatif
2025-10-26 09:50:33,Pengguna Google,5,saran saya main ini gema ini very good in bahasa inggris nya,saran saya main ini gema ini very good in bahasa inggris nya,saran saya main ini gema ini very good in bahasa inggris nya,saran saya main ini gema ini very good ini bahasa inggris ya,"['saran', 'saya', 'main', 'ini', 'gema', 'ini', 'very', 'good', 'ini', 'bahasa', 'inggris', 'ya']","['saran', 'main', 'gema', 'very', 'good', 'bahasa', 'inggris', 'ya']",saran main gema very good bahasa inggris ya,60,Netral
2025-10-26 09:43:12,Pengguna Google,5,mantap,mantap,mantap,mantap,['mantap'],['mantap'],mantap,6,Netral
2025-10-26 09:38:27,Pengguna Google,5,sangat membantu dalam belajar bahasa walupun ada sedikit bug tapi masih bagus dan tidak memungut biaya sedikit pun,sangat membantu dalam belajar bahasa walupun ada sedikit bug tapi masih bagus dan tidak memungut biaya sedikit pun,sangat membantu dalam belajar bahasa walupun ada sedikit bug tapi masih bagus dan tidak memungut biaya sedikit pun,sangat membantu dalam belajar bahasa walupun ada sedikit bug tapi masih bagus dan tidak memungut biaya sedikit pun,"['sangat', 'membantu', 'dalam', 'belajar', 'bahasa', 'walupun', 'ada', 'sedikit', 'bug', 'tapi', 'masih', 'bagus', 'dan', 'tidak', 'memungut', 'biaya', 'sedikit', 'pun']","['membantu', 'belajar', 'bahasa', 'walupun', 'bug', 'bagus', 'memungut', 'biaya']",bantu ajar bahasa walupun bug bagus mungut biaya,114,Positif
